Distritos SP;Ano;total_de_profissionais;avg_teleworkable_score;weighted_avg_teleworkable_score
A ALVIM;2019;13511;0.331;0.346
A RASA;2019;92393;0.323;0.325
ANHANGUERA;2019;6689;0.385;0.39
ARICANDUVA;2019;51803;0.302;0.232
AT PINHEIRO;2019;32919;0.377;0.439
B FUNDA;2019;170746;0.337;0.451
B RETIRO;2019;144991;0.331;0.403
B VISTA;2019;383344;0.389;0.368
BELEM;2019;127339;0.385;0.34
BRAS;2019;134504;0.327;0.383
BRASILANDIA;2019;21986;0.342;0.321
BUTANTA;2019;125556;0.342;0.301
C ADEMAR;2019;64630;0.295;0.392
C DUTRA;2019;67986;0.303;0.351
C LIDER;2019;23423;0.339;0.281
C REDONDO;2019;28462;0.286;0.322
C TIRADENTE;2019;75233;0.295;0.272
C VERDE;2019;104361;0.317;0.363
CAMBUCI;2019;85234;0.379;0.345
CANGAIBA;2019;37250;0.294;0.274
CARRAO;2019;49276;0.316;0.283
CONSOLACAO;2019;320335;0.375;0.338
CPO BELO;2019;82019;0.346;0.379
CPO GRANDE;2019;91473;0.289;0.282
CPO LIMPO;2019;39164;0.312;0.347
CURSINO;2019;82614;0.322;0.363
E MATARAZZO;2019;60340;0.321;0.421
FREGUESIA D;2019;47200;0.306;0.316
GRAJAU;2019;38054;0.299;0.264
GUAIANAZES;2019;18119;0.321;0.407
IGUATEMI;2019;9964;0.224;0.229
IPIRANGA;2019;192185;0.298;0.29
ITAIM BIBI;2019;765796;0.32;0.526
ITAIM PAULI;2019;31680;0.31;0.349
ITAQUERA;2019;63717;0.408;0.363
J BONIFACIO;2019;38284;0.301;0.229
JABAQUARA;2019;164973;0.321;0.397
JACANA;2019;57374;0.269;0.198
JAGUARA;2019;59365;0.302;0.346
JAGUARE;2019;145789;0.343;0.348
JARAGUA;2019;27067;0.282;0.258
JD ANGELA;2019;25071;0.296;0.339
JD HELENA;2019;22754;0.328;0.317
JD PAULISTA;2019;284214;0.391;0.422
LAJEADO;2019;84297;0.345;0.354
LAPA;2019;252849;0.317;0.326
LIBERDADE;2019;118611;0.338;0.52
LIMAO;2019;50135;0.319;0.26
MANDAQUI;2019;52548;0.347;0.383
MARSILAC;2019;11657;0.314;0.225
MOEMA;2019;188726;0.383;0.36
MOOCA;2019;123375;0.385;0.266
MORUMBI;2019;157984;0.327;0.252
N CACHOEIRI;2019;27283;0.305;0.393
PARELHEIROS;2019;13268;0.309;0.259
PARI;2019;57259;0.299;0.268
PEDREIRA;2019;39209;0.281;0.246
PENHA;2019;73944;0.308;0.302
PERDIZES;2019;91855;0.323;0.364
PERUS;2019;12035;0.256;0.33
PINHEIROS;2019;284570;0.33;0.536
PIRITUBA;2019;111534;0.346;0.494
PRQ CARMO;2019;45933;0.298;0.209
PTE RASA;2019;21896;0.3;0.373
R PEQUENO;2019;90454;0.323;0.406
R TAVARES;2019;32249;0.318;0.272
REPUBLICA;2019;252381;0.33;0.438
S AMARO;2019;343604;0.307;0.504
S CECILIA;2019;131084;0.338;0.42
S DOMINGOS;2019;203825;0.321;0.485
S LUCAS;2019;35545;0.307;0.266
S LUIS;2019;103642;0.321;0.463
S MATEUS;2019;64856;0.293;0.327
S MIGUEL;2019;25745;0.315;0.359
S RAFAEL;2019;36770;0.312;0.283
SACOMA;2019;92538;0.311;0.306
SANTANA;2019;149793;0.337;0.344
SAPOPEMBA;2019;107493;0.299;0.403
SAUDE;2019;1242232;0.325;0.531
SE;2019;667608;0.4;0.473
SOCORRO;2019;113536;0.283;0.298
TATUAPE;2019;189632;0.315;0.296
TREMEMBE;2019;17363;0.317;0.352
TUCURUVI;2019;33991;0.32;0.378
VL ANDRADE;2019;67059;0.32;0.37
VL CURUCA;2019;20181;0.321;0.38
VL FORMOSA;2019;51254;0.302;0.356
VL GUILHERM;2019;113090;0.336;0.477
VL JACUI;2019;26028;0.291;0.356
VL LEOPOLDI;2019;155924;0.339;0.368
VL MARIA;2019;195199;0.319;0.311
VL MARIANA;2019;318114;0.385;0.31
VL MATILDE;2019;78734;0.321;0.344
VL MEDEIROS;2019;32732;0.271;0.342
VL PRUDENTE;2019;73265;0.34;0.272
VL SONIA;2019;59850;0.287;0.329
