Distritos SP,Ano,total_de_profissionais,avg_teleworkable_score,weighted_avg_teleworkable_score
A ALVIM,2018,14217,0.321,0.309
A ALVIM,2019,13511,0.331,0.346
A ALVIM,2020,11659,0.317,0.356
A ALVIM,2021,12993,0.295,0.337
A RASA,2018,98233,0.344,0.281
A RASA,2019,92393,0.323,0.325
A RASA,2020,87116,0.306,0.294
A RASA,2021,93368,0.296,0.273
ANHANGUERA,2018,5379,0.338,0.388
ANHANGUERA,2019,6689,0.385,0.39
ANHANGUERA,2020,5216,0.379,0.429
ANHANGUERA,2021,6078,0.361,0.39
ARICANDUVA,2018,78101,0.299,0.16
ARICANDUVA,2019,51803,0.302,0.232
ARICANDUVA,2020,57476,0.319,0.234
ARICANDUVA,2021,69264,0.313,0.226
AT PINHEIRO,2018,34871,0.389,0.42
AT PINHEIRO,2019,32919,0.377,0.439
AT PINHEIRO,2020,29510,0.385,0.42
AT PINHEIRO,2021,33598,0.36,0.475
B FUNDA,2018,143047,0.357,0.441
B FUNDA,2019,170746,0.337,0.451
B FUNDA,2020,201722,0.323,0.407
B FUNDA,2021,192965,0.399,0.427
B RETIRO,2018,154473,0.332,0.385
B RETIRO,2019,144991,0.331,0.403
B RETIRO,2020,132220,0.352,0.408
B RETIRO,2021,133889,0.403,0.451
B VISTA,2018,421425,0.405,0.343
B VISTA,2019,383344,0.389,0.368
B VISTA,2020,353852,0.388,0.397
B VISTA,2021,337715,0.395,0.441
BELEM,2018,160613,0.4,0.286
BELEM,2019,127339,0.385,0.34
BELEM,2020,124921,0.389,0.332
BELEM,2021,143798,0.406,0.372
BRAS,2018,135355,0.343,0.336
BRAS,2019,134504,0.327,0.383
BRAS,2020,124004,0.33,0.369
BRAS,2021,124592,0.338,0.315
BRASILANDIA,2018,21988,0.342,0.323
BRASILANDIA,2019,21986,0.342,0.321
BRASILANDIA,2020,21016,0.319,0.305
BRASILANDIA,2021,23814,0.353,0.313
BUTANTA,2018,116915,0.382,0.31
BUTANTA,2019,125556,0.342,0.301
BUTANTA,2020,119736,0.327,0.316
BUTANTA,2021,111686,0.321,0.354
C ADEMAR,2018,58208,0.316,0.262
C ADEMAR,2019,64630,0.295,0.392
C ADEMAR,2020,65237,0.303,0.408
C ADEMAR,2021,75171,0.328,0.398
C DUTRA,2018,74292,0.334,0.346
C DUTRA,2019,67986,0.303,0.351
C DUTRA,2020,62216,0.33,0.342
C DUTRA,2021,67988,0.302,0.327
C LIDER,2018,29792,0.313,0.238
C LIDER,2019,23423,0.339,0.281
C LIDER,2020,22623,0.345,0.29
C LIDER,2021,28688,0.321,0.269
C REDONDO,2018,30984,0.301,0.296
C REDONDO,2019,28462,0.286,0.322
C REDONDO,2020,28868,0.293,0.298
C REDONDO,2021,34003,0.306,0.334
C TIRADENTE,2018,70719,0.302,0.29
C TIRADENTE,2019,75233,0.295,0.272
C TIRADENTE,2020,12443,0.305,0.227
C TIRADENTE,2021,13823,0.338,0.276
C VERDE,2018,112409,0.348,0.403
C VERDE,2019,104361,0.317,0.363
C VERDE,2020,104759,0.333,0.383
C VERDE,2021,111632,0.324,0.411
CAMBUCI,2018,128659,0.403,0.342
CAMBUCI,2019,85234,0.379,0.345
CAMBUCI,2020,80338,0.383,0.343
CAMBUCI,2021,104773,0.406,0.365
CANGAIBA,2018,49842,0.31,0.23
CANGAIBA,2019,37250,0.294,0.274
CANGAIBA,2020,35283,0.311,0.26
CANGAIBA,2021,40201,0.313,0.219
CARRAO,2018,53493,0.312,0.26
CARRAO,2019,49276,0.316,0.283
CARRAO,2020,47311,0.317,0.296
CARRAO,2021,60763,0.305,0.288
CONSOLACAO,2018,351552,0.407,0.308
CONSOLACAO,2019,320335,0.375,0.338
CONSOLACAO,2020,316201,0.387,0.326
CONSOLACAO,2021,319264,0.397,0.376
CPO BELO,2018,92415,0.329,0.36
CPO BELO,2019,82019,0.346,0.379
CPO BELO,2020,80858,0.354,0.371
CPO BELO,2021,88005,0.352,0.403
CPO GRANDE,2018,94924,0.341,0.258
CPO GRANDE,2019,91473,0.289,0.282
CPO GRANDE,2020,91495,0.287,0.275
CPO GRANDE,2021,99565,0.319,0.261
CPO LIMPO,2018,40255,0.345,0.341
CPO LIMPO,2019,39164,0.312,0.347
CPO LIMPO,2020,35792,0.298,0.327
CPO LIMPO,2021,36677,0.322,0.315
CURSINO,2018,87658,0.33,0.351
CURSINO,2019,82614,0.322,0.363
CURSINO,2020,80579,0.312,0.358
CURSINO,2021,89759,0.324,0.372
E MATARAZZO,2018,71160,0.333,0.44
E MATARAZZO,2019,60340,0.321,0.421
E MATARAZZO,2020,77846,0.335,0.477
E MATARAZZO,2021,105734,0.395,0.53
FREGUESIA D,2018,51816,0.32,0.319
FREGUESIA D,2019,47200,0.306,0.316
FREGUESIA D,2020,50571,0.303,0.265
FREGUESIA D,2021,58041,0.299,0.264
GRAJAU,2018,42397,0.307,0.234
GRAJAU,2019,38054,0.299,0.264
GRAJAU,2020,37602,0.325,0.253
GRAJAU,2021,39583,0.283,0.224
GUAIANAZES,2018,17742,0.345,0.355
GUAIANAZES,2019,18119,0.321,0.407
GUAIANAZES,2020,16431,0.312,0.402
GUAIANAZES,2021,17229,0.348,0.389
IGUATEMI,2018,10721,0.299,0.2
IGUATEMI,2019,9964,0.224,0.229
IGUATEMI,2020,10944,0.277,0.226
IGUATEMI,2021,13883,0.302,0.198
IPIRANGA,2018,204509,0.304,0.258
IPIRANGA,2019,192185,0.298,0.29
IPIRANGA,2020,190326,0.308,0.277
IPIRANGA,2021,204243,0.319,0.302
ITAIM BIBI,2018,717295,0.387,0.5
ITAIM BIBI,2019,765796,0.32,0.526
ITAIM BIBI,2020,778714,0.32,0.531
ITAIM BIBI,2021,832643,0.384,0.541
ITAIM PAULI,2018,34679,0.324,0.323
ITAIM PAULI,2019,31680,0.31,0.349
ITAIM PAULI,2020,34730,0.323,0.308
ITAIM PAULI,2021,41522,0.33,0.315
ITAQUERA,2018,58695,0.349,0.334
ITAQUERA,2019,63717,0.408,0.363
ITAQUERA,2020,60781,0.394,0.354
ITAQUERA,2021,63939,0.408,0.42
J BONIFACIO,2018,40646,0.318,0.193
J BONIFACIO,2019,38284,0.301,0.229
J BONIFACIO,2020,38131,0.3,0.196
J BONIFACIO,2021,48004,0.329,0.179
JABAQUARA,2018,210751,0.324,0.427
JABAQUARA,2019,164973,0.321,0.397
JABAQUARA,2020,148783,0.323,0.396
JABAQUARA,2021,182842,0.303,0.436
JACANA,2018,60499,0.3,0.183
JACANA,2019,57374,0.269,0.198
JACANA,2020,56178,0.298,0.2
JACANA,2021,57192,0.3,0.202
JAGUARA,2018,63230,0.315,0.339
JAGUARA,2019,59365,0.302,0.346
JAGUARA,2020,57078,0.298,0.344
JAGUARA,2021,65047,0.299,0.347
JAGUARE,2018,102984,0.409,0.345
JAGUARE,2019,145789,0.343,0.348
JAGUARE,2020,150882,0.337,0.38
JAGUARE,2021,199155,0.355,0.383
JARAGUA,2018,30027,0.313,0.226
JARAGUA,2019,27067,0.282,0.258
JARAGUA,2020,25456,0.272,0.246
JARAGUA,2021,29651,0.282,0.217
JD ANGELA,2018,25519,0.309,0.318
JD ANGELA,2019,25071,0.296,0.339
JD ANGELA,2020,28375,0.278,0.287
JD ANGELA,2021,24997,0.302,0.32
JD HELENA,2018,25496,0.354,0.255
JD HELENA,2019,22754,0.328,0.317
JD HELENA,2020,22409,0.335,0.273
JD HELENA,2021,24618,0.308,0.219
JD PAULISTA,2018,251881,0.419,0.377
JD PAULISTA,2019,284214,0.391,0.422
JD PAULISTA,2020,273050,0.379,0.434
JD PAULISTA,2021,280121,0.402,0.468
LAJEADO,2018,85176,0.339,0.304
LAJEADO,2019,84297,0.345,0.354
LAJEADO,2020,89235,0.335,0.334
LAJEADO,2021,94746,0.344,0.451
LAPA,2018,282338,0.336,0.309
LAPA,2019,252849,0.317,0.326
LAPA,2020,263546,0.322,0.313
LAPA,2021,289655,0.333,0.336
LIBERDADE,2018,135325,0.314,0.488
LIBERDADE,2019,118611,0.338,0.52
LIBERDADE,2020,106849,0.334,0.491
LIBERDADE,2021,97393,0.362,0.459
LIMAO,2018,55413,0.33,0.256
LIMAO,2019,50135,0.319,0.26
LIMAO,2020,45589,0.319,0.259
LIMAO,2021,61037,0.318,0.276
MANDAQUI,2018,58701,0.347,0.359
MANDAQUI,2019,52548,0.347,0.383
MANDAQUI,2020,48918,0.344,0.38
MANDAQUI,2021,55355,0.359,0.36
MARSILAC,2018,12182,0.308,0.229
MARSILAC,2019,11657,0.314,0.225
MARSILAC,2020,11128,0.311,0.225
MARSILAC,2021,13516,0.287,0.259
MOEMA,2018,198092,0.412,0.341
MOEMA,2019,188726,0.383,0.36
MOEMA,2020,187010,0.383,0.355
MOEMA,2021,197625,0.324,0.364
MOOCA,2018,136976,0.395,0.239
MOOCA,2019,123375,0.385,0.266
MOOCA,2020,131435,0.366,0.25
MOOCA,2021,145061,0.393,0.269
MORUMBI,2018,158984,0.355,0.242
MORUMBI,2019,157984,0.327,0.252
MORUMBI,2020,169846,0.327,0.245
MORUMBI,2021,168972,0.308,0.273
N CACHOEIRI,2018,27542,0.333,0.368
N CACHOEIRI,2019,27283,0.305,0.393
N CACHOEIRI,2020,27115,0.301,0.353
N CACHOEIRI,2021,30578,0.364,0.373
OUTROS SP,2018,20525,0.362,0.283
OUTROS SP,2019,6412,0.293,0.289
OUTROS SP,2020,5641,0.32,0.252
OUTROS SP,2021,4060,0.268,0.197
PARELHEIROS,2018,14424,0.323,0.26
PARELHEIROS,2019,13268,0.309,0.259
PARELHEIROS,2020,26829,0.309,0.158
PARELHEIROS,2021,24881,0.322,0.2
PARI,2018,58958,0.308,0.244
PARI,2019,57259,0.299,0.268
PARI,2020,58125,0.334,0.265
PARI,2021,62323,0.345,0.231
PEDREIRA,2018,36955,0.328,0.263
PEDREIRA,2019,39209,0.281,0.246
PEDREIRA,2020,18739,0.31,0.238
PEDREIRA,2021,21304,0.33,0.261
PENHA,2018,79493,0.328,0.281
PENHA,2019,73944,0.308,0.302
PENHA,2020,70484,0.304,0.289
PENHA,2021,73901,0.333,0.296
PERDIZES,2018,99645,0.324,0.341
PERDIZES,2019,91855,0.323,0.364
PERDIZES,2020,81408,0.319,0.382
PERDIZES,2021,85263,0.326,0.38
PERUS,2018,13592,0.305,0.307
PERUS,2019,12035,0.256,0.33
PERUS,2020,10985,0.253,0.336
PERUS,2021,11671,0.259,0.311
PINHEIROS,2018,250646,0.357,0.514
PINHEIROS,2019,284570,0.33,0.536
PINHEIROS,2020,291581,0.333,0.546
PINHEIROS,2021,348036,0.339,0.596
PIRITUBA,2018,115558,0.361,0.36
PIRITUBA,2019,111534,0.346,0.494
PIRITUBA,2020,105689,0.344,0.496
PIRITUBA,2021,121102,0.352,0.446
PRQ CARMO,2018,47693,0.32,0.203
PRQ CARMO,2019,45933,0.298,0.209
PRQ CARMO,2020,112552,0.303,0.244
PRQ CARMO,2021,129796,0.315,0.266
PTE RASA,2018,28481,0.32,0.393
PTE RASA,2019,21896,0.3,0.373
PTE RASA,2020,19293,0.305,0.288
PTE RASA,2021,52928,0.347,0.209
R PEQUENO,2018,92876,0.334,0.371
R PEQUENO,2019,90454,0.323,0.406
R PEQUENO,2020,91287,0.311,0.311
R PEQUENO,2021,76156,0.324,0.382
R TAVARES,2018,35865,0.334,0.219
R TAVARES,2019,32249,0.318,0.272
R TAVARES,2020,32701,0.296,0.264
R TAVARES,2021,40228,0.326,0.228
REPUBLICA,2018,252081,0.353,0.442
REPUBLICA,2019,252381,0.33,0.438
REPUBLICA,2020,231025,0.329,0.426
REPUBLICA,2021,217535,0.402,0.429
S AMARO,2018,305265,0.321,0.474
S AMARO,2019,343604,0.307,0.504
S AMARO,2020,358302,0.31,0.481
S AMARO,2021,334160,0.337,0.475
S CECILIA,2018,147560,0.346,0.424
S CECILIA,2019,131084,0.338,0.42
S CECILIA,2020,123794,0.339,0.437
S CECILIA,2021,127358,0.37,0.469
S DOMINGOS,2018,186880,0.34,0.477
S DOMINGOS,2019,203825,0.321,0.485
S DOMINGOS,2020,234811,0.324,0.46
S DOMINGOS,2021,299523,0.343,0.409
S LUCAS,2018,41311,0.318,0.222
S LUCAS,2019,35545,0.307,0.266
S LUCAS,2020,34472,0.285,0.26
S LUCAS,2021,41743,0.305,0.228
S LUIS,2018,104694,0.302,0.446
S LUIS,2019,103642,0.321,0.463
S LUIS,2020,95326,0.319,0.465
S LUIS,2021,101855,0.34,0.432
S MATEUS,2018,64279,0.306,0.308
S MATEUS,2019,64856,0.293,0.327
S MATEUS,2020,58027,0.273,0.326
S MATEUS,2021,63549,0.312,0.289
S MIGUEL,2018,26565,0.344,0.315
S MIGUEL,2019,25745,0.315,0.359
S MIGUEL,2020,24919,0.324,0.352
S MIGUEL,2021,29902,0.318,0.298
S RAFAEL,2018,35044,0.316,0.271
S RAFAEL,2019,36770,0.312,0.283
S RAFAEL,2020,34983,0.318,0.285
S RAFAEL,2021,39473,0.334,0.243
SACOMA,2018,102930,0.287,0.268
SACOMA,2019,92538,0.311,0.306
SACOMA,2020,96374,0.303,0.316
SACOMA,2021,113365,0.388,0.31
SANTANA,2018,159306,0.343,0.355
SANTANA,2019,149793,0.337,0.344
SANTANA,2020,139750,0.343,0.333
SANTANA,2021,138421,0.347,0.364
SAPOPEMBA,2018,103233,0.298,0.351
SAPOPEMBA,2019,107493,0.299,0.403
SAPOPEMBA,2020,109728,0.292,0.383
SAPOPEMBA,2021,120641,0.304,0.383
SAUDE,2018,1379022,0.345,0.503
SAUDE,2019,1242232,0.325,0.531
SAUDE,2020,1203654,0.332,0.531
SAUDE,2021,1202784,0.341,0.599
SE,2018,690449,0.377,0.552
SE,2019,667608,0.4,0.473
SE,2020,625657,0.397,0.467
SE,2021,681540,0.37,0.575
SOCORRO,2018,98661,0.304,0.249
SOCORRO,2019,113536,0.283,0.298
SOCORRO,2020,115067,0.297,0.28
SOCORRO,2021,139209,0.299,0.29
TATUAPE,2018,132818,0.335,0.341
TATUAPE,2019,189632,0.315,0.296
TATUAPE,2020,172046,0.301,0.289
TATUAPE,2021,195973,0.332,0.327
TREMEMBE,2018,18957,0.321,0.315
TREMEMBE,2019,17363,0.317,0.352
TREMEMBE,2020,19147,0.32,0.349
TREMEMBE,2021,21581,0.309,0.364
TUCURUVI,2018,34452,0.337,0.356
TUCURUVI,2019,33991,0.32,0.378
TUCURUVI,2020,33360,0.326,0.355
TUCURUVI,2021,37039,0.349,0.336
VL ANDRADE,2018,68819,0.339,0.336
VL ANDRADE,2019,67059,0.32,0.37
VL ANDRADE,2020,64015,0.316,0.363
VL ANDRADE,2021,67506,0.325,0.359
VL CURUCA,2018,21533,0.344,0.373
VL CURUCA,2019,20181,0.321,0.38
VL CURUCA,2020,18501,0.318,0.381
VL CURUCA,2021,17637,0.322,0.303
VL FORMOSA,2018,56903,0.319,0.306
VL FORMOSA,2019,51254,0.302,0.356
VL FORMOSA,2020,48881,0.308,0.341
VL FORMOSA,2021,52170,0.332,0.312
VL GUILHERM,2018,107500,0.328,0.451
VL GUILHERM,2019,113090,0.336,0.477
VL GUILHERM,2020,109593,0.326,0.475
VL GUILHERM,2021,120263,0.348,0.47
VL JACUI,2018,23976,0.272,0.311
VL JACUI,2019,26028,0.291,0.356
VL JACUI,2020,22821,0.267,0.325
VL JACUI,2021,23167,0.253,0.292
VL LEOPOLDI,2018,139256,0.41,0.36
VL LEOPOLDI,2019,155924,0.339,0.368
VL LEOPOLDI,2020,144121,0.317,0.379
VL LEOPOLDI,2021,167371,0.337,0.394
VL MARIA,2018,218394,0.342,0.319
VL MARIA,2019,195199,0.319,0.311
VL MARIA,2020,194773,0.32,0.309
VL MARIA,2021,208066,0.309,0.318
VL MARIANA,2018,287240,0.413,0.339
VL MARIANA,2019,318114,0.385,0.31
VL MARIANA,2020,297878,0.325,0.322
VL MARIANA,2021,272556,0.34,0.378
VL MATILDE,2018,81375,0.346,0.31
VL MATILDE,2019,78734,0.321,0.344
VL MATILDE,2020,81695,0.307,0.319
VL MATILDE,2021,95388,0.31,0.327
VL MEDEIROS,2018,36599,0.274,0.3
VL MEDEIROS,2019,32732,0.271,0.342
VL MEDEIROS,2020,29198,0.275,0.346
VL MEDEIROS,2021,34623,0.253,0.321
VL PRUDENTE,2018,75658,0.336,0.227
VL PRUDENTE,2019,73265,0.34,0.272
VL PRUDENTE,2020,69067,0.327,0.303
VL PRUDENTE,2021,74295,0.35,0.315
VL SONIA,2018,66569,0.339,0.307
VL SONIA,2019,59850,0.287,0.329
VL SONIA,2020,59069,0.289,0.306
VL SONIA,2021,64468,0.295,0.297
